Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
1,4099,3,50,2.5,3,1,1988,31
6,31500,0,1,2,3,1,2014,283
4,4500,5,207,1.5,0,1,2003,159
6,6700,2,207,1.9,0,1,2004,101
3,20800,0,31,2.4,3,1,2011,199
2,107999,0,0,2.98,0,1,2016,137
1,3500,3,334,2,0,0,1999,18
0,39000,3,18,1.8,2,1,2015,63
5,13500,0,150,4.7,1,1,2002,168
3,6150,3,175,1.6,3,1,2007,164
1,45500,0,76,4.4,3,1,2010,302
1,4900,3,295,2,3,1,1994,31
1,47000,2,5,2,3,1,2014,305
5,19200,0,190,2.7,1,1,2005,173
3,11100,0,119,2.4,1,1,2008,198
3,8200,3,139,1.5,2,1,2012,166
6,10300,3,235,2,3,1,2007,208
4,11990,5,210,1.1,0,1,2010,248
1,46800,3,33,2,0,1,2014,31
6,1500,2,260,1.8,1,0,1994,144
1,6350,0,156,4.4,1,0,2002,299
2,8900,1,155,1.5,3,1,2005,56
2,12700,5,160,3,0,1,2007,296
3,8000,3,207,1.6,1,1,2007,164
5,29500,0,63,4,3,1,2008,119
4,7100,5,208,1.5,0,1,2008,159
4,10850,0,103,2.5,1,1,2010,160
6,27000,3,57,2,0,1,2013,209
6,18100,2,64,2,3,1,2011,250
1,27000,3,137,5,2,1,2005,178
1,8990,2,300,2.2,3,1,2002,18
5,32900,0,82,2.7,3,1,2013,292
1,25500,2,163,4.8,3,1,2008,299
5,8900,0,153,2,3,1,2003,222
0,11950,3,190,3,3,1,2006,64
2,22700,3,125,2.2,0,1,2010,115
1,13000,3,165,2.2,1,1,2003,31
0,25000,2,60,2,3,1,2011,63
5,26900,0,119,4,1,1,2008,173
2,87777,5,0,2.2,0,1,2016,289
6,6000,5,200,2,0,1,2008,101
0,9800,4,257,2.5,0,1,2003,64
0,13900,2,197,2,0,1,2006,64
4,12200,5,164,2.5,0,1,2009,286
2,13500,0,205,2.7,0,1,2005,182
1,18100,0,200,4.8,3,1,2005,299
1,33000,0,200,3,0,1,2010,299
6,16900,0,145,1.4,3,1,2011,283
2,22000,3,110,1.8,3,1,2011,79
6,10700,3,195,3.2,3,1,2007,208
2,7800,3,226,2.2,0,1,2000,115
2,17300,3,184,1.8,1,1,2008,115
1,70000,3,16,3,0,1,2014,46
6,2200,1,118,1.4,3,0,2001,177
1,8900,3,256,2.2,3,1,2002,29
2,31600,3,33,1.6,3,1,2013,85
6,7900,2,168,1.9,0,1,2006,277
5,28500,0,97,3.5,3,1,2012,154
4,6900,5,140,1.5,0,1,2012,159
1,8850,4,280,2.5,0,1,2000,34
4,3100,5,164,1.4,3,1,1999,159
1,8900,3,250,2.5,3,1,2000,34
4,6100,3,130,1.4,3,1,2005,194
1,1400,3,260,1.8,3,0,1996,17
6,8800,5,93,1.6,0,1,2012,101
4,10299,2,176,2,0,1,2013,286
4,6500,3,170,1.6,3,1,2004,194
5,9100,3,151,1.6,1,1,2007,110
6,9950,1,95,1.4,3,1,2010,214
5,24500,0,260,4.7,1,1,2003,168
0,51500,0,27,3,0,1,2013,219
6,12900,5,290,1.9,0,1,2008,277
2,8000,5,250,2.2,0,1,2006,296
3,8100,3,112,2.4,3,1,2007,141
4,10100,5,164,2,0,1,2012,286
1,1900,3,300,2.5,0,0,1997,29
4,10800,5,187,2,0,1,2012,286
0,8000,3,234,4.2,1,0,2004,67
2,15300,2,120,2.6,3,1,2004,93
6,2350,1,182,1.9,0,0,1998,145
1,38888,4,5,0.65,2,1,2015,156
5,99999,0,0,4.5,0,1,2016,170
6,17650,3,110,1.8,3,1,2012,209
6,12999,5,237,2.5,0,1,2005,196
2,18500,2,90,1.8,3,1,2008,79
6,9200,3,195,2,3,1,2006,208
6,14500,3,1,1.6,2,1,2016,214
6,18000,4,18,1.6,0,1,2011,209
2,6800,5,250,1.7,0,1,2003,290
1,20500,0,73,2,3,1,2011,297
1,28000,2,100,5,3,1,2005,178
6,10650,5,130,2,0,1,2011,278
6,20300,2,30,1.4,3,1,2013,250
6,3000,4,267,1.9,0,0,1999,207
5,25250,0,112,4.5,1,1,2007,168
3,1389,1,245,1.3,3,0,1996,109
2,17600,3,174,4,0,1,2005,229
2,14200,5,180,2.2,0,1,2007,296
1,13700,0,270,4.6,1,1,2004,299
2,23900,3,187,5.5,3,1,2007,234
6,32000,3,144,3.6,3,1,2013,211
1,4599,3,267,2,1,1,1991,31
6,2350,3,300,1.9,0,0,1998,207
0,19999,4,160,2,3,1,2010,62
1,28900,3,78,2,3,1,2012,35
6,3800,3,300,2.8,1,1,1996,206
6,1800,2,300,1.3,3,1,1989,143
6,9700,3,201,2,3,1,2007,208
3,25342.2,2,1,2.5,0,1,2016,161
6,24900,3,1,1.6,0,1,2016,158
4,4999,3,140,1.4,3,1,2011,176
1,4700,3,390,2.5,3,1,1991,34
2,4999,3,1,2.8,3,1,1997,115
2,9299,3,350,2.7,0,1,2000,115
2,25000,3,130,5.5,3,1,2007,234
3,12900,0,148,3,1,1,2008,202
0,9700,4,189,2.5,0,1,2003,64
4,10100,5,64,2,0,1,2014,286
1,2800,3,296,3,0,0,2001,46
2,13500,5,350,2.9,0,1,2000,264
3,8900,1,125,1.8,3,1,2009,167
2,109999,0,0,3,0,1,2016,137
2,11500,3,180,3.2,1,1,2004,115
1,36900,0,82,3,3,1,2010,301
5,33200,0,150,4,1,1,2010,173
6,10200,5,253,2.5,0,1,2008,277
6,16999,3,0,1.6,3,1,2016,158
5,10800,3,179,3,1,1,2005,102
2,35500,2,99,2.99,0,1,2011,115
6,9900,1,156,1.6,3,1,2007,146
4,7900,4,91,1.5,0,1,2008,248
2,13900,3,216,2.2,0,1,2007,115
6,20000,3,102,1.8,3,1,2011,211
5,28500,0,38,2.2,0,1,2015,222
3,7200,3,178,1.6,3,1,2007,164
3,9000,0,200,2,1,1,2006,198
0,36500,0,115,3,0,1,2010,219
6,8000,1,41,1,3,1,2012,288
0,43000,2,11,1.8,3,1,2015,64
5,13700,3,48,1.4,0,1,2013,110
5,7899,3,165,1.8,1,1,2006,72
4,13999,5,180,2,0,1,2012,286
6,10500,5,176,1.6,0,1,2012,101
6,20800,2,160,2,0,1,2012,69
2,32000,0,176,3.2,1,1,2003,122
2,14500,3,220,5,3,1,2004,232
5,16900,1,20,1.6,3,1,2014,70
2,13600,5,172,2.2,0,1,2013,296
0,2600,4,273,2.5,0,0,1999,64
1,12000,3,237,3,0,1,2003,36
6,18800,4,106,1.6,0,1,2013,209
5,35500,0,85,3,0,1,2012,173
2,29900,2,71,5.5,3,1,2007,81
4,6750,2,110,1.5,0,1,2012,159
1,34900,0,117,3,3,1,2011,299
6,7700,5,177,1.9,0,1,2008,278
4,9250,4,220,1.5,0,1,2010,194
4,8400,1,84,1.5,0,1,2011,159
5,11750,3,93,1.6,3,1,2013,110
2,5800,5,368,2.2,0,1,2000,296
5,5900,0,180,3,0,0,2003,173
1,44999,0,87,3,0,1,2011,301
6,10500,5,170,1.6,0,1,2013,101
2,17900,3,190,3,0,1,2007,115
0,9999,3,190,3,3,1,2007,64
0,9999,3,190,2.5,0,1,2003,64
6,61000,0,2,3,0,1,2016,284
5,38300,0,130,5.7,1,1,2009,170
5,17700,3,30,1.6,3,1,2014,110
6,55555,5,50,2,0,1,2013,196
1,18000,0,280,3,0,1,2005,299
4,7600,2,125,1.5,0,1,2013,159
4,6900,3,68,1.5,0,1,2013,176
4,15635.1,4,0,1.5,0,1,2016,113
4,10550,5,195,2,0,1,2011,286
6,12500,5,190,1.9,0,1,2008,277
0,13000,3,157,3,3,1,2006,64
1,7400,3,285,4.4,1,1,1997,38
4,9500,1,100,1.5,0,1,2009,194
0,18800,0,197,4.2,3,1,2007,219
5,8000,3,176,3,3,1,2002,102
6,8700,4,250,1.9,0,1,2002,207
2,9999,0,300,3.2,3,1,1998,184
6,16700,3,175,2,3,1,2011,211
5,13900,1,90,1.6,3,1,2012,70
6,18700,2,145,2,0,1,2011,278
3,6200,3,152,1.6,3,1,2006,164
4,3600,5,22,1.9,0,1,2001,159
4,7500,4,98,1.4,3,1,2007,159
4,2300,5,200,1.9,0,1,2002,159
6,16900,0,133,2.5,0,1,2007,284
3,13499,0,116,2.4,3,1,2008,199
4,5700,5,180,1.5,0,1,2007,159
3,17900,0,140,3.8,1,1,2007,203
6,13900,2,170,1.9,0,1,2006,196
0,7950,4,167,2.5,0,1,2000,64
1,9700,3,250,2,3,1,2003,17
6,7500,3,240,1.8,3,1,2002,207
0,19999,0,117,4.2,3,1,2007,219
1,9100,3,230,2,1,1,2004,17
6,13300,1,73,1.4,3,1,2011,148
6,21000,1,22,1.2,2,1,2014,149
0,6600,3,360,1.8,3,1,1998,64
0,7600,4,226,3,0,0,2006,64
2,3500,1,258,1.7,0,0,2002,57
6,3500,3,3,1.8,3,1,1991,205
2,17900,5,167,2.2,0,1,2012,296
4,1950,4,286,1.9,0,0,2001,163
6,7990,3,90,1.4,3,1,2003,197
6,6500,3,320,1.9,0,1,2001,207
3,3500,3,300,2,0,1,1996,141
5,14100,3,113,2.4,1,1,2009,102
5,2999,2,300,1.6,3,1,1991,110
1,66900,0,70,3,0,1,2014,299
5,13100,3,200,3.5,1,1,2006,102
6,6900,3,300,1.8,3,1,1998,207
6,23999,3,80,2,0,1,2014,209
3,6990,0,225,2.5,3,1,1997,200
5,13999,3,198,2.4,1,1,2009,102
4,7600,5,108,1,0,1,2013,159
4,11100,4,180,1.5,0,1,2012,194
2,16500,2,260,2.2,0,1,2011,269
2,44000,2,82,5.5,3,1,2010,232
0,39900,2,12,1.8,3,1,2014,63
2,20500,3,173,1.8,1,1,2011,115
1,8000,0,214,4.4,3,0,2000,299
1,11600,3,142,2,3,1,2005,18
4,11500,4,170,1.5,0,1,2012,194
6,13700,2,103,2,0,1,2011,208
2,13700,5,198,3.2,1,1,2006,293
4,7700,4,200,1.5,0,1,2007,194
2,5800,3,231,2.2,3,1,1994,115
6,9500,3,95,2,3,1,2007,208
2,24900,3,140,5.5,3,1,2009,234
6,55500,0,47,3,0,1,2016,284
6,6500,5,186,2.8,3,1,2000,252
2,8300,3,175,3.2,0,0,2006,115
3,12000,0,130,3,1,1,2007,202
2,15000,0,185,3.7,1,1,2005,185
1,8100,3,246,3,0,1,2000,36
4,8000,3,175,2,1,1,2005,194
2,5500,5,285,2.3,0,1,1999,296
4,9600,4,184,1.5,0,1,2011,194
1,10800,3,180,2,3,1,2002,17
2,10999,5,263,2.2,0,1,2005,296
1,44000,0,80,3,0,1,2012,299
5,19200,1,54,1.4,2,1,2012,216
2,19600,5,127,1.8,0,1,2013,75
6,9000,3,135,1.6,1,1,2011,214
1,10900,3,245,3,0,1,2003,36
6,12900,5,180,2,0,1,2012,278
1,6600,3,285,2.5,3,1,1999,34
4,15820.35,3,0,1.5,0,1,2016,120
5,10200,3,180,2.4,3,1,2003,102
2,6000,3,366,3.2,1,1,1994,115
0,3500,3,1,2,2,1,1988,54
6,7800,5,380,2.5,0,1,1999,275
5,35900,0,84,3,0,1,2013,173
4,11700,0,90,1.5,0,1,2011,114
6,15200,0,58,2,3,1,2008,283
2,2500,3,111,2.3,1,1,1992,115
6,16800,2,164,2,0,1,2010,277
1,50499,3,128,3,0,1,2013,46
1,2250,3,300,2.5,3,0,1997,32
2,9300,3,270,2.7,0,1,2001,115
5,11500,5,161,2.5,0,1,2002,153
1,13000,3,304,4.4,2,1,2002,49
2,7500,3,319,3.2,1,1,1997,227
2,17999,2,38,2,3,1,2009,89
4,7300,4,162,1.5,0,1,2006,194
5,29900,0,117,3,0,1,2008,173
4,4950,4,170,1.5,0,1,2004,159
0,36000,4,40,3,0,1,2010,219
0,1700,3,177,1.6,3,0,1996,61
0,12450,4,1,2,0,1,2008,61
6,13893.75,3,0,1.6,3,1,2016,214
6,44600,0,60,3,0,1,2013,284
5,35138.29,0,0,2,3,1,2016,222
1,3500,3,313,2.5,0,1,1994,21
2,12800,2,260,2.7,0,1,2005,267
6,27000,3,85,2,0,1,2013,211
6,14800,3,143,2,0,1,2010,208
4,2200,2,155,1.6,3,0,2004,248
6,2900,5,433,2.4,0,0,1995,275
0,12000,3,200,6,3,1,2004,67
6,41000,0,180,3,0,1,2013,284
0,16300,4,180,3.2,3,1,2006,65
4,5300,5,145,1.5,2,1,2010,159
2,40500,3,39,2.2,0,1,2015,115
2,4300,5,300,2.2,0,0,2005,296
6,4000,0,137,2.5,0,0,2004,284
6,9600,1,132,1.6,3,1,2007,147
3,18000,0,112,3,1,1,2008,203
4,11300,4,184,1.5,0,1,2011,194
6,4999,1,131,1.4,3,1,2002,214
2,24999,3,112,2.2,0,1,2012,79
5,23300,0,93,2.7,2,1,2011,292
5,14900,0,124,4,3,1,2006,121
0,22800,3,184,2.7,0,1,2010,64
2,35500,3,137,3,0,1,2011,115
6,15000,2,280,2.8,0,1,2006,162
5,8650,3,132,1.6,3,1,2008,110
3,22400,0,96,2.5,0,1,2011,202
3,10400,3,123,2,3,1,2009,166
0,10500,4,198,4.2,1,1,2005,65
4,11900,0,68,1.5,0,1,2011,114
1,36900,3,17,2,3,1,2013,31
1,24500,0,170,3,0,1,2006,299
6,4700,5,400,2.4,0,1,1999,275
5,18100,1,30,1.6,3,1,2013,70
2,115000,3,47,4.6,3,1,2013,232
2,10900,3,217,3.2,0,1,2002,115
1,7000,3,280,3,3,1,2001,36
6,9999,4,161,2,0,1,2008,208
3,12300,2,160,2.5,0,1,2008,161
6,67622.55,0,0,3,0,1,2016,284
6,18900,2,45,2,0,1,2013,209
6,6999,3,248,1.8,3,1,2002,207
2,10250,3,261,1.8,3,1,2003,115
5,3500,3,286,1.6,3,1,2000,110
1,13500,0,250,3,0,0,2006,299
1,2450,3,328,2.5,0,0,1996,34
6,7500,5,180,2.5,0,1,2004,278
6,4900,4,263,2,0,0,2007,208
2,5000,4,248,2,1,1,1996,115
1,29900,0,235,3,0,1,2009,299
4,7000,3,110,1.4,3,1,2012,271
3,11800,3,1,1.5,1,1,2010,166
2,16500,5,223,2.2,0,1,2009,296
1,5300,3,147,2.2,1,0,2001,18
2,7200,5,200,2.2,0,1,2004,296
6,8500,5,230,1.9,0,1,2008,101
1,39000,0,180,3,0,1,2011,299
6,1850,4,270,1.9,0,1,2000,207
0,36100,3,75,3,0,1,2011,66
3,3149.25,1,330,2,1,1,1993,141
4,5800,5,159,1.5,0,1,2007,159
1,6700,3,370,2,3,1,1997,18
4,18988.13,0,0,1.5,0,1,2016,114
6,28660,5,0,1.6,0,1,2016,101
1,2999,3,210,2,2,0,1999,18
1,64500,0,1,2,0,1,2016,299
5,21500,0,135,2,1,1,2007,173
1,85555,3,10,3,0,1,2015,43
6,8650,5,108,1.6,0,1,2013,101
1,10600,3,1,3,0,1,2000,36
5,6900,1,109,1.3,1,1,2007,303
2,2900,2,248,2,3,0,1999,90
2,12250,2,185,2.2,0,1,2012,296
1,21700,0,101,2.5,1,1,2007,298
2,2000,3,320,2.2,0,0,1998,115
0,9900,4,284,2.5,0,1,2004,64
2,5850,5,240,2.2,0,1,2001,296
5,8200,4,204,1.4,0,1,2005,110
4,7300,4,200,1.5,0,1,2008,194
3,8000,3,145,2,1,1,2007,164
4,6600,5,184,1.5,0,1,2012,159
2,22500,3,164,1.8,1,1,2012,115
2,13200,2,196,2.2,2,1,2012,265
6,1200,2,300,1.4,1,1,2000,101
6,8900,5,264,2.5,0,1,2003,275
3,9200,3,163,2,3,1,2008,166
2,10200,3,154,2.5,3,1,2006,79
2,9500,3,246,6,3,1,1997,235
3,26850,0,84,3.2,0,1,2012,203
0,21900,0,183,4.2,3,1,2007,219
6,1700,1,250,1.4,3,0,1998,214
6,6500,1,225,1.4,3,1,2000,145
4,5000,4,34,1.5,0,1,2013,176
1,38000,3,74,2,0,1,2014,31
6,9599,3,140,1.8,3,1,2008,208
2,10800,2,230,1.8,3,1,2006,79
5,18800,0,105,2,1,1,2011,222
3,7650,3,133,1.5,1,1,2008,164
4,6300,4,125,2,3,1,2003,163
1,5000,2,75,1.9,3,0,1998,304
5,28500,0,107,3.5,1,1,2011,154
1,13000,3,193,3.6,3,1,2003,47
5,16999,0,157,2.7,1,1,2007,173
1,34500,2,160,3,0,1,2011,299
6,10900,4,204,2,0,1,2007,208
3,18999,0,121,3.8,1,1,2008,203
1,9800,3,350,3,0,1,2001,36
6,4300,4,298,1.8,3,1,1998,144
0,3900,4,260,2.5,0,0,2003,64
6,13499,5,154,2,0,1,2013,278
0,19990,3,127,2.8,3,1,2010,64
4,3400,5,260,2.2,0,0,2005,118
5,27800,3,157,3.5,3,1,2011,102
6,2300,1,320,1.6,1,1,1989,143
4,7650,5,151,1.5,0,1,2012,159
6,10000,5,220,1.9,0,1,2008,101
6,9700,4,130,1.6,1,1,2008,150
0,3800,3,270,2.5,0,0,2000,64
5,26900,0,115,4,1,1,2008,173
5,12600,3,205,2.4,1,1,2006,102
6,14899,5,158,2,0,1,2012,278
4,4999,4,252,1.5,0,1,2007,159
1,57777,2,40,4,0,1,2012,301
6,12350,5,167,1.4,3,1,2011,285
0,7999,3,177,2.7,1,1,2003,64
1,21600,0,200,4.8,2,1,2007,299
3,8000,3,67,1.5,3,1,2009,166
6,6799,1,1,1.4,1,1,1998,145
5,25749.75,3,0,2.5,3,1,2016,102
6,8899,4,198,1.9,2,1,2004,207
2,26800,3,162,5.5,3,1,2007,232
5,25555,0,128,4.7,1,1,2004,168
0,25000,0,112,3.2,3,1,2010,218
6,15800,5,194,2,0,1,2012,278
1,3150,3,200,2,0,0,1999,18
5,12300,3,157,2.4,1,1,2007,102
5,45500,0,45,3.5,3,1,2015,154
4,6500,2,406,2.5,0,1,2004,192
5,18999,0,95,2,3,1,2011,222
1,8500,3,260,2.2,1,1,2001,31
2,8500,5,350,2.2,0,1,2004,260
5,13500,0,126,4,3,0,2011,173
6,2200,3,180,1.9,0,0,2003,207
6,18500,4,125,2,0,1,2011,209
5,8420,2,150,2.7,1,1,2005,282
0,17500,4,144,2,0,1,2010,61
0,9000,3,158,2,1,1,2003,61
6,4400,1,238,1.6,3,1,1994,144
4,7500,5,200,2.2,0,1,2002,118
5,17950,3,87,2.4,3,1,2010,102
1,51500,0,23,3,3,1,2013,301
3,10800,0,165,3,1,1,2007,202
6,33700,5,11,1.4,3,1,2016,285
6,17000,0,158,2.5,0,1,2007,284
6,11200,0,1,4.2,3,1,2004,284
1,4500,3,140,3,0,0,2000,36
5,43999,2,0,2.8,0,1,2016,155
0,39800,3,180,4.2,2,1,2012,67
1,6500,3,272,2.8,3,1,1996,22
6,18700,4,196,2,0,1,2011,209
0,38500,4,75,2,0,1,2013,217
1,8200,3,241,2,3,1,1998,18
0,7500,4,240,2,3,1,2002,61
5,11550,3,95,2.4,3,1,2007,102
2,39500,3,30,1.6,3,1,2014,79
6,6200,3,161,4.2,1,0,2004,212
1,17200,0,308,4.6,1,1,2003,299
1,2900,3,280,2.5,0,0,1997,34
4,14600,2,169,2.3,0,1,2013,192
1,34900,0,110,4.4,3,1,2010,301
2,7000,2,170,2.2,3,0,2001,91
2,32000,5,255,3,0,1,2008,268
4,7500,4,168,1.5,0,1,2005,151
6,9000,2,217,2.5,0,1,2005,277
3,7000,3,180,1.6,1,1,2004,164
0,2700,3,234,2.5,2,0,2000,64
6,10950,5,165,2,0,1,2012,101
5,15500,3,120,3.5,3,1,2008,102
2,8700,3,210,5,3,1,1997,232
2,6000,5,200,2.2,0,1,2000,296
3,16950,0,135,3,1,1,2008,203
2,15000,0,400,3,0,1,1997,261
5,26500,0,102,2.5,0,1,2013,155
2,3100,4,400,2.2,0,0,2002,79
5,59900,0,90,4.5,0,1,2012,170
5,63000,0,3,4.2,0,1,2013,171
2,19800,0,218,3,0,1,2006,183
6,13000,5,110,1.9,0,1,2009,277
0,12200,3,130,2.4,3,1,2006,64
3,5700,2,170,1.3,3,1,2006,109
0,2550,3,370,2.5,0,0,1998,64
5,13500,3,144,3.5,1,1,2007,102
4,10200,5,183,2,0,1,2012,286
0,13000,2,161,1.8,1,1,2001,281
6,10500,3,210,5,0,1,2004,212
1,3100,3,315,2.5,0,0,1998,34
1,9400,3,221,4.4,1,1,2004,49
0,10000,3,206,2.5,0,1,2003,64
3,4200,3,270,2,1,1,1998,141
4,7500,3,131,1.6,3,1,2009,194
2,38600,2,12,1.8,3,1,2012,115
5,8900,1,140,1.6,3,1,2008,70
5,24000,0,270,4.2,0,1,1994,172
2,51500,2,75,6.3,3,1,2009,84
2,5100,3,270,3.2,0,0,2001,227
3,4999,3,60,1.6,3,1,2007,164
3,9450,3,125,2,1,1,2008,166
0,3850,4,215,2.5,0,0,2002,64
4,7800,4,170,1.5,0,0,2013,194
0,49700,0,80,3,0,1,2013,219
3,9000,3,78,2.4,1,1,2006,141
5,18990,0,95,2,3,1,2011,222
3,7200,3,102,1.6,3,1,2007,164
6,11900,2,112,2,0,1,2011,280
5,2800,3,287,1.3,3,1,1995,110
6,2200,3,272,1.9,0,0,1998,207
3,17500,0,170,3.8,1,1,2008,203
0,49900,2,79,4.2,3,1,2007,221
6,8650,5,238,2.5,0,1,2002,275
0,8800,3,205,1.8,3,1,2003,61
2,69999,0,0,2.2,0,1,2016,134
6,8910.53,1,103,1.4,3,1,2012,214
5,15500,0,165,2.7,1,1,2005,173
0,19500,0,175,3.6,3,1,2007,219
5,27700,3,21,2.5,3,1,2015,102
6,9600,5,255,1.9,0,1,2004,277
1,12500,0,176,3,1,1,2002,299
0,4799,4,260,2.5,0,0,2002,65
5,20900,3,70,2.5,3,1,2012,102
0,14900,3,203,2.8,3,1,2008,64
5,12750,1,164,1.4,0,1,2012,70
1,5900,1,243,2,3,0,2006,3
2,2700,3,400,2.9,0,1,1997,115
0,4700,3,400,2.6,3,1,1996,64
1,77000,2,64,4.4,3,1,2012,179
4,5900,5,250,1.9,0,1,2005,286
6,24000,3,67,1.8,3,1,2012,211
0,18400,4,151,2,0,1,2010,61
2,56800,3,74,6.3,3,1,2010,236
4,8000,1,50,1.6,3,1,2012,246
2,5000,3,382,2,3,1,1994,115
3,9900,3,98,2,3,1,2009,166
2,18900,2,111,2.5,3,1,2009,79
5,20500,0,139,4,1,1,2005,173
6,2500,4,232,1.6,3,0,2001,145
4,9000,4,179,1.5,0,1,2010,194
4,7700,3,100,1.6,1,1,2008,194
0,32300,1,54,2.8,3,1,2011,64
2,72700,5,42,2.2,0,1,2014,289
4,6200,3,246,1.4,3,1,2005,194
0,4000,3,400,2,3,1,1992,1
5,9003.15,3,43,1.3,3,1,2014,110
2,14900,2,195,3.2,1,1,1999,95
1,65393.25,0,0,2,0,1,2016,299
4,9000,5,158,2,0,1,2012,286
0,8500,3,253,2.5,0,1,2001,64
4,5900,1,171,1.5,2,1,2005,194
3,5100,1,250,1.3,1,1,2006,109
2,40500,3,108,5.5,3,1,2010,232
0,8600,3,154,1.8,3,1,2001,64
3,5900,3,142,1.6,1,1,2005,164
6,17900,2,123,1.8,3,1,2010,211
1,34400,0,37,2,0,1,2013,297
1,13500,3,138,2.5,3,1,2004,34
4,9600,5,175,2,0,1,2007,286
2,15000,2,82,1.8,3,1,2004,244
2,22000,2,53,3,3,1,2007,94
6,13700,2,200,2.5,0,1,2005,284
5,18800,3,47,2.4,3,1,2009,102
6,7600,1,127,1.4,3,1,2007,214
5,11950,1,120,1.4,3,1,2013,70
0,11300,3,202,2.7,0,0,2008,64
6,13500,5,43,2,0,1,2014,278
5,11990,3,129,2.4,3,1,2007,102
5,16500,2,130,2.7,1,1,2004,173
1,19000,0,215,3,0,1,2006,299
4,5500,5,160,1.5,0,1,2005,159
1,39999,3,45,3,3,1,2011,37
5,15500,3,140,2.4,1,1,2007,102
3,11700,0,197,3,1,1,2006,202
6,2750,4,1,1.9,0,0,2001,207
4,7150,4,1,1.5,0,1,2005,194
1,10500,1,220,2,3,1,2005,4
2,24900,3,97,1.8,3,1,2012,115
2,26000,2,22,1.8,3,1,2014,79
2,21500,0,148,6.2,3,1,2008,190
